Period,Start,End
1,90600,94400
2,94600,102400
3,102600,110400
Assembly,110600,114400
4,114600,122400
5,122600,130400
6,130600,134400
7,134600,142400
8,142600,150400
9,151200,155000
10,155200,163000
11,163200,171000
